Cell Name	Cluster number	cluster_label	sample_detail	sample	cell_id	CD8_cluster	patient	response
A2_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	A2_P1_M67_L001	CD8_B	P6	NR
A4_P2_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	A4_P2_M67_L001	CD8_B	P6	NR
A5_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	A5_P1_M67_L001	CD8_B	P6	NR
A5_P3_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	A5_P3_M67_L001	CD8_G	P6	NR
A6_P2_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	A6_P2_M67_L001	CD8_B	P6	NR
A7_P2_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	A7_P2_M67_L001	CD8_B	P6	NR
A7_P4_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	A7_P4_M67_L001	CD8_B	P6	NR
B11_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	B11_P1_M67_L001	CD8_B	P6	NR
B11_P4_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	B11_P4_M67_L001	CD8_B	P6	NR
B12_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	B12_P1_M67_L001	CD8_B	P6	NR
B12_P3_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	B12_P3_M67_L001	CD8_B	P6	NR
B12_P4_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	B12_P4_M67_L001	CD8_B	P6	NR
B1_P1_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	B1_P1_M67_L001	CD8_B	P6	NR
B1_P3_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	B1_P3_M67_L001	CD8_B	P6	NR
B1_P4_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	B1_P4_M67_L001	CD8_B	P6	NR
B4_P2_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	B4_P2_M67_L001	CD8_B	P6	NR
B4_P4_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	B4_P4_M67_L001	CD8_B	P6	NR
B7_P3_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	B7_P3_M67_L001	CD8_B	P6	NR
B8_P3_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	B8_P3_M67_L001	CD8_B	P6	NR
C10_P1_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	C10_P1_M67_L001	CD8_B	P6	NR
C12_P2_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	C12_P2_M67_L001	CD8_B	P6	NR
C3_P2_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	C3_P2_M67_L001	CD8_B	P6	NR
C3_P3_M67_L001	9	Exhausted_HS_CD8T	Post_P6	Post_P6	C3_P3_M67_L001	CD8_B	P6	NR
C5_P4_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	C5_P4_M67_L001	CD8_B	P6	NR
C7_P3_M67_L001	9	Exhausted_HS_CD8T	Post_P6	Post_P6	C7_P3_M67_L001	CD8_G	P6	NR
C7_P4_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	C7_P4_M67_L001	CD8_B	P6	NR
C8_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	C8_P1_M67_L001	CD8_B	P6	NR
C9_P1_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	C9_P1_M67_L001	CD8_B	P6	NR
D12_P2_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	D12_P2_M67_L001	CD8_B	P6	NR
D2_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	D2_P1_M67_L001	CD8_B	P6	NR
D2_P2_M67_L001	5	Lymphocytes	Post_P6	Post_P6	D2_P2_M67_L001	CD8_G	P6	NR
D6_P2_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	D6_P2_M67_L001	CD8_B	P6	NR
D7_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	D7_P1_M67_L001	CD8_B	P6	NR
D7_P2_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	D7_P2_M67_L001	CD8_B	P6	NR
D8_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	D8_P1_M67_L001	CD8_B	P6	NR
D8_P3_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	D8_P3_M67_L001	CD8_B	P6	NR
D9_P3_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	D9_P3_M67_L001	CD8_B	P6	NR
E10_P2_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	E10_P2_M67_L001	CD8_B	P6	NR
E11_P3_M67_L001	9	Exhausted_HS_CD8T	Post_P6	Post_P6	E11_P3_M67_L001	CD8_G	P6	NR
E12_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	E12_P1_M67_L001	CD8_B	P6	NR
E2_P4_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	E2_P4_M67_L001	CD8_B	P6	NR
E3_P2_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	E3_P2_M67_L001	CD8_B	P6	NR
E4_P3_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	E4_P3_M67_L001	CD8_B	P6	NR
E5_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	E5_P1_M67_L001	CD8_B	P6	NR
E6_P2_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	E6_P2_M67_L001	CD8_B	P6	NR
E7_P3_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	E7_P3_M67_L001	CD8_B	P6	NR
E8_P3_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	E8_P3_M67_L001	CD8_B	P6	NR
E8_P4_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	E8_P4_M67_L001	CD8_B	P6	NR
F11_P1_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	F11_P1_M67_L001	CD8_B	P6	NR
F12_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	F12_P1_M67_L001	CD8_B	P6	NR
F2_P2_M67_L001	8	Cytotoxicity	Post_P6	Post_P6	F2_P2_M67_L001	CD8_G	P6	NR
F2_P3_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	F2_P3_M67_L001	CD8_B	P6	NR
F3_P2_M67_L001	8	Cytotoxicity	Post_P6	Post_P6	F3_P2_M67_L001	CD8_G	P6	NR
F4_P3_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	F4_P3_M67_L001	CD8_B	P6	NR
F4_P4_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	F4_P4_M67_L001	CD8_B	P6	NR
F6_P3_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	F6_P3_M67_L001	CD8_B	P6	NR
F6_P4_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	F6_P4_M67_L001	CD8_B	P6	NR
F9_P1_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	F9_P1_M67_L001	CD8_B	P6	NR
G10_P1_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	G10_P1_M67_L001	CD8_B	P6	NR
G10_P3_M67_L001	3	Monocytes_Macrophages	Post_P6	Post_P6	G10_P3_M67_L001	CD8_B	P6	NR
G11_P2_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	G11_P2_M67_L001	CD8_B	P6	NR
G1_P4_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	G1_P4_M67_L001	CD8_B	P6	NR
G2_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	G2_P1_M67_L001	CD8_B	P6	NR
G6_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	G6_P1_M67_L001	CD8_B	P6	NR
G6_P4_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	G6_P4_M67_L001	CD8_B	P6	NR
G7_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	G7_P1_M67_L001	CD8_B	P6	NR
G8_P4_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	G8_P4_M67_L001	CD8_B	P6	NR
G9_P3_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	G9_P3_M67_L001	CD8_B	P6	NR
G9_P4_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	G9_P4_M67_L001	CD8_B	P6	NR
H12_P1_M67_L001	11	Lymphocytes_cell_cycle	Post_P6	Post_P6	H12_P1_M67_L001	CD8_B	P6	NR
H1_P1_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	H1_P1_M67_L001	CD8_B	P6	NR
H1_P4_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	H1_P4_M67_L001	CD8_B	P6	NR
H5_P1_M67_L001	6	Exhausted_CD8T	Post_P6	Post_P6	H5_P1_M67_L001	CD8_B	P6	NR
A10_P6_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	A10_P6_M60-B1_L001	CD8_G	P7	R
A10_P7_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	A10_P7_M60-B1_L001	CD8_G	P7	R
A11_P7_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	A11_P7_M60-B1_L001	CD8_G	P7	R
A2_P6_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	A2_P6_M60-B1_L001	CD8_G	P7	R
A2_P8_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	A2_P8_M60-B1_L001	CD8_G	P7	R
A3_P6_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	A3_P6_M60-B1_L001	CD8_G	P7	R
A3_P7_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	A3_P7_M60-B1_L001	CD8_G	P7	R
A4_P8_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	A4_P8_M60-B1_L001	CD8_G	P7	R
A5_P6_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	A5_P6_M60-B1_L001	CD8_G	P7	R
A5_P8_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	A5_P8_M60-B1_L001	CD8_G	P7	R
A6_P7_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	A6_P7_M60-B1_L001	CD8_G	P7	R
B10_P7_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	B10_P7_M60-B1_L001	CD8_G	P7	R
B11_P7_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	B11_P7_M60-B1_L001	CD8_B	P7	R
B11_P9_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	B11_P9_M60-B1_L001	CD8_G	P7	R
B12_P6_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	B12_P6_M60-B1_L001	CD8_G	P7	R
B12_P7_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	B12_P7_M60-B1_L001	CD8_G	P7	R
B12_P8_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	B12_P8_M60-B1_L001	CD8_G	P7	R
B12_P9_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	B12_P9_M60-B1_L001	CD8_G	P7	R
B1_P6_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	B1_P6_M60-B1_L001	CD8_B	P7	R
B1_P7_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	B1_P7_M60-B1_L001	CD8_G	P7	R
B2_P6_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	B2_P6_M60-B1_L001	CD8_B	P7	R
B2_P9_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	B2_P9_M60-B1_L001	CD8_G	P7	R
B5_P7_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	B5_P7_M60-B1_L001	CD8_B	P7	R
B5_P9_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	B5_P9_M60-B1_L001	CD8_G	P7	R
B6_P7_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	B6_P7_M60-B1_L001	CD8_G	P7	R
B6_P9_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	B6_P9_M60-B1_L001	CD8_G	P7	R
B7_P6_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	B7_P6_M60-B1_L001	CD8_G	P7	R
B7_P7_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	B7_P7_M60-B1_L001	CD8_B	P7	R
B7_P8_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	B7_P8_M60-B1_L001	CD8_B	P7	R
B8_P6_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	B8_P6_M60-B1_L001	CD8_G	P7	R
B9_P9_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	B9_P9_M60-B1_L001	CD8_G	P7	R
C10_P6_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	C10_P6_M60-B1_L001	CD8_G	P7	R
C10_P9_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	C10_P9_M60-B1_L001	CD8_G	P7	R
C11_P6_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	C11_P6_M60-B1_L001	CD8_B	P7	R
C12_P8_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	C12_P8_M60-B1_L001	CD8_B	P7	R
C1_P9_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	C1_P9_M60-B1_L001	CD8_B	P7	R
C2_P6_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	C2_P6_M60-B1_L001	CD8_G	P7	R
C3_P8_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	C3_P8_M60-B1_L001	CD8_B	P7	R
C4_P7_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	C4_P7_M60-B1_L001	CD8_G	P7	R
C5_P8_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	C5_P8_M60-B1_L001	CD8_B	P7	R
C8_P9_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	C8_P9_M60-B1_L001	CD8_G	P7	R
D10_P6_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	D10_P6_M60-B1_L001	CD8_G	P7	R
D10_P8_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	D10_P8_M60-B1_L001	CD8_G	P7	R
D10_P9_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	D10_P9_M60-B1_L001	CD8_G	P7	R
D11_P9_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	D11_P9_M60-B1_L001	CD8_B	P7	R
D12_P7_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	D12_P7_M60-B1_L001	CD8_G	P7	R
D12_P9_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	D12_P9_M60-B1_L001	CD8_G	P7	R
D1_P6_M60-B1_L001	11	Lymphocytes_cell_cycle	Pre_P7	Pre_P7	D1_P6_M60-B1_L001	CD8_B	P7	R
D1_P9_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	D1_P9_M60-B1_L001	CD8_G	P7	R
D3_P8_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	D3_P8_M60-B1_L001	CD8_G	P7	R
D4_P6_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	D4_P6_M60-B1_L001	CD8_G	P7	R
D4_P7_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	D4_P7_M60-B1_L001	CD8_G	P7	R
D4_P8_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	D4_P8_M60-B1_L001	CD8_G	P7	R
D5_P7_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	D5_P7_M60-B1_L001	CD8_B	P7	R
D5_P8_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	D5_P8_M60-B1_L001	CD8_B	P7	R
D5_P9_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	D5_P9_M60-B1_L001	CD8_G	P7	R
D6_P6_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	D6_P6_M60-B1_L001	CD8_G	P7	R
D6_P8_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	D6_P8_M60-B1_L001	CD8_G	P7	R
D9_P9_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	D9_P9_M60-B1_L001	CD8_G	P7	R
E10_P6_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	E10_P6_M60-B1_L001	CD8_G	P7	R
E10_P8_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	E10_P8_M60-B1_L001	CD8_G	P7	R
E11_P8_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	E11_P8_M60-B1_L001	CD8_G	P7	R
E11_P9_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	E11_P9_M60-B1_L001	CD8_G	P7	R
E12_P6_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	E12_P6_M60-B1_L001	CD8_G	P7	R
E12_P9_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	E12_P9_M60-B1_L001	CD8_B	P7	R
E1_P6_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	E1_P6_M60-B1_L001	CD8_G	P7	R
E1_P8_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	E1_P8_M60-B1_L001	CD8_G	P7	R
E2_P6_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	E2_P6_M60-B1_L001	CD8_G	P7	R
E2_P9_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	E2_P9_M60-B1_L001	CD8_G	P7	R
E3_P6_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	E3_P6_M60-B1_L001	CD8_G	P7	R
E3_P8_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	E3_P8_M60-B1_L001	CD8_G	P7	R
E3_P9_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	E3_P9_M60-B1_L001	CD8_G	P7	R
E4_P9_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	E4_P9_M60-B1_L001	CD8_G	P7	R
E5_P9_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	E5_P9_M60-B1_L001	CD8_G	P7	R
E6_P7_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	E6_P7_M60-B1_L001	CD8_G	P7	R
E7_P6_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	E7_P6_M60-B1_L001	CD8_G	P7	R
E7_P7_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	E7_P7_M60-B1_L001	CD8_B	P7	R
E8_P8_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	E8_P8_M60-B1_L001	CD8_G	P7	R
F10_P6_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	F10_P6_M60-B1_L001	CD8_G	P7	R
F10_P8_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	F10_P8_M60-B1_L001	CD8_G	P7	R
F11_P7_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	F11_P7_M60-B1_L001	CD8_G	P7	R
F12_P8_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	F12_P8_M60-B1_L001	CD8_B	P7	R
F1_P6_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	F1_P6_M60-B1_L001	CD8_G	P7	R
F1_P9_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	F1_P9_M60-B1_L001	CD8_G	P7	R
F2_P7_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	F2_P7_M60-B1_L001	CD8_B	P7	R
F2_P8_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	F2_P8_M60-B1_L001	CD8_G	P7	R
F3_P6_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	F3_P6_M60-B1_L001	CD8_G	P7	R
F4_P6_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	F4_P6_M60-B1_L001	CD8_B	P7	R
F5_P8_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	F5_P8_M60-B1_L001	CD8_G	P7	R
F5_P9_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	F5_P9_M60-B1_L001	CD8_G	P7	R
F6_P6_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	F6_P6_M60-B1_L001	CD8_G	P7	R
F7_P6_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	F7_P6_M60-B1_L001	CD8_B	P7	R
F7_P8_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	F7_P8_M60-B1_L001	CD8_G	P7	R
F8_P7_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	F8_P7_M60-B1_L001	CD8_G	P7	R
F8_P8_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	F8_P8_M60-B1_L001	CD8_G	P7	R
F9_P7_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	F9_P7_M60-B1_L001	CD8_B	P7	R
F9_P8_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	F9_P8_M60-B1_L001	CD8_B	P7	R
G10_P9_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	G10_P9_M60-B1_L001	CD8_G	P7	R
G12_P6_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	G12_P6_M60-B1_L001	CD8_G	P7	R
G12_P7_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	G12_P7_M60-B1_L001	CD8_G	P7	R
G12_P8_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	G12_P8_M60-B1_L001	CD8_B	P7	R
G2_P7_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	G2_P7_M60-B1_L001	CD8_G	P7	R
G3_P8_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	G3_P8_M60-B1_L001	CD8_B	P7	R
G3_P9_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	G3_P9_M60-B1_L001	CD8_B	P7	R
G4_P6_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	G4_P6_M60-B1_L001	CD8_G	P7	R
G5_P6_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	G5_P6_M60-B1_L001	CD8_G	P7	R
G6_P6_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	G6_P6_M60-B1_L001	CD8_G	P7	R
G6_P9_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	G6_P9_M60-B1_L001	CD8_G	P7	R
G7_P6_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	G7_P6_M60-B1_L001	CD8_B	P7	R
G7_P7_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	G7_P7_M60-B1_L001	CD8_B	P7	R
H10_P9_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	H10_P9_M60-B1_L001	CD8_G	P7	R
H11_P6_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	H11_P6_M60-B1_L001	CD8_B	P7	R
H11_P8_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	H11_P8_M60-B1_L001	CD8_G	P7	R
H12_P6_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	H12_P6_M60-B1_L001	CD8_B	P7	R
H12_P7_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	H12_P7_M60-B1_L001	CD8_G	P7	R
H12_P8_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	H12_P8_M60-B1_L001	CD8_G	P7	R
H12_P9_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	H12_P9_M60-B1_L001	CD8_B	P7	R
H1_P7_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	H1_P7_M60-B1_L001	CD8_B	P7	R
H1_P8_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	H1_P8_M60-B1_L001	CD8_G	P7	R
H1_P9_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	H1_P9_M60-B1_L001	CD8_B	P7	R
H2_P7_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	H2_P7_M60-B1_L001	CD8_B	P7	R
H2_P8_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	H2_P8_M60-B1_L001	CD8_G	P7	R
H2_P9_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	H2_P9_M60-B1_L001	CD8_G	P7	R
H3_P6_M60-B1_L001	9	Exhausted_HS_CD8T	Pre_P7	Pre_P7	H3_P6_M60-B1_L001	CD8_G	P7	R
H3_P8_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	H3_P8_M60-B1_L001	CD8_G	P7	R
H3_P9_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	H3_P9_M60-B1_L001	CD8_B	P7	R
H4_P6_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	H4_P6_M60-B1_L001	CD8_G	P7	R
H4_P7_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	H4_P7_M60-B1_L001	CD8_G	P7	R
H5_P6_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	H5_P6_M60-B1_L001	CD8_G	P7	R
H5_P7_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	H5_P7_M60-B1_L001	CD8_G	P7	R
H6_P8_M60-B1_L001	5	Lymphocytes	Pre_P7	Pre_P7	H6_P8_M60-B1_L001	CD8_G	P7	R
H7_P8_M60-B1_L001	8	Cytotoxicity	Pre_P7	Pre_P7	H7_P8_M60-B1_L001	CD8_G	P7	R
H8_P7_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	H8_P7_M60-B1_L001	CD8_G	P7	R
H8_P8_M60-B1_L001	10	memory_T	Pre_P7	Pre_P7	H8_P8_M60-B1_L001	CD8_G	P7	R
H9_P7_M60-B1_L001	6	Exhausted_CD8T	Pre_P7	Pre_P7	H9_P7_M60-B1_L001	CD8_B	P7	R
A10_P7_M63-B1	8	Cytotoxicity	Post_P7	Post_P7	A10_P7_M63-B1	CD8_G	P7	R
A10_P8_M63-B1	8	Cytotoxicity	Post_P7	Post_P7	A10_P8_M63-B1	CD8_B	P7	R
A11_P6_M63-B1	8	Cytotoxicity	Post_P7	Post_P7	A11_P6_M63-B1	CD8_B	P7	R
A11_P7_M63-B1	8	Cytotoxicity	Post_P7	Post_P7	A11_P7_M63-B1	CD8_G	P7	R
A11_P8_M63-B1	8	Cytotoxicity	Post_P7	Post_P7	A11_P8_M63-B1	CD8_B	P7	R
A12_P7_M63-B1	6	Exhausted_CD8T	Post_P7	Post_P7	A12_P7_M63-B1	CD8_B	P7	R
